epoca,train_loss,val_loss,train_acc,val_acc
1,1.8705990743637084,1.5216298162937165,0.381,0.509
2,1.2550511622428895,1.2955519080162048,0.6134,0.575
3,0.9742059946060181,1.2064626693725586,0.699,0.604
4,0.7810823452472687,1.153695559501648,0.7642,0.625
5,0.634529675245285,1.1121769905090333,0.818,0.646
6,0.5173856967687607,1.094038200378418,0.8622,0.646
7,0.4192642539739609,1.0912834644317626,0.9024,0.666
8,0.34297077119350433,1.1064743876457215,0.9268,0.652
9,0.27878665447235107,1.1076402485370636,0.9476,0.663
10,0.22676443964242934,1.1174295127391816,0.9614,0.678
