ruta,clase,etiqueta,hablante,particion
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\229978fd_nohash_2.wav,yes,0,229978fd,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\ab46af55_nohash_1.wav,yes,0,ab46af55,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\179a61b7_nohash_2.wav,yes,0,179a61b7,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\f5341341_nohash_1.wav,yes,0,f5341341,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\7e843da8_nohash_0.wav,yes,0,7e843da8,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\a929f9b9_nohash_4.wav,yes,0,a929f9b9,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\ceef6d96_nohash_1.wav,yes,0,ceef6d96,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\07089da9_nohash_2.wav,yes,0,07089da9,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\8d9cc260_nohash_1.wav,yes,0,8d9cc260,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\90645155_nohash_0.wav,yes,0,90645155,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\ab5ae445_nohash_0.wav,yes,0,ab5ae445,entrenamiento
c:\Users\HP\Desktop\UNI\7moo SEMESTRE\SIS420 INTELIGENCIA ARTIFICIAL\SIS420 INTELIGENCIA ARTIFICIAL\EXAMEN_AUDIO\DataSet\yes\d78858d9_nohash_1.wav,yes,0,d78858d9,entrenamiento
